HospitalID,IndicatorID,Date,HospitalValue,BoardValue
35,19,31 Mar 2021,NA,96
35,35,31 Mar 2021,NA,0.624
35,36,31 Mar 2021,NA,22682.2
35,37,31 Mar 2021,NA,1009.8
35,38,31 Mar 2021,NA,10004.3
39,1,20 Jun 2021,1206,4892
39,2,20 Jun 2021,0.872,0.802
39,3,20 Jun 2021,154,967
39,4,20 Jun 2021,7,140
39,5,20 Jun 2021,1,23
39,6,31 May 2021,5001,23061
39,7,31 May 2021,0.884,0.824
39,10,31 May 2021,578,4057
39,12,31 May 2021,48,552
39,13,31 May 2021,9,135
39,14,31 May 2021,0.194,0.271
39,15,01 Oct 2018,0.776,0.829
39,16,01 Oct 2018,-0.135,-0.097
39,25,29 Apr 2021,NA,158
39,26,29 Apr 2021,NA,87
39,27,01 Apr 2021,NA,5154
39,28,01 Apr 2021,0.089,0.069
39,29,01 Apr 2021,0.008,0.012
39,30,31 Mar 2021,NA,29
39,31,31 Mar 2021,NA,315
39,32,31 Mar 2021,NA,41
39,33,31 Mar 2021,NA,347
39,34,01 Mar 2021,NA,0.773
39,39,01 Dec 2020,301.581,2157.258
39,18,31 Mar 2021,NA,42
39,19,31 Mar 2021,NA,96
39,35,31 Mar 2021,NA,0.624
39,36,31 Mar 2021,NA,22682.2
39,37,31 Mar 2021,NA,1009.8
39,38,31 Mar 2021,NA,10004.3
37,1,20 Jun 2021,2465,4892
37,2,20 Jun 2021,0.684,0.802
37,3,20 Jun 2021,779,967
37,4,20 Jun 2021,132,140
37,5,20 Jun 2021,21,23
37,6,31 May 2021,10271,23061
37,7,31 May 2021,0.755,0.824
37,10,31 May 2021,2514,4057
37,12,31 May 2021,403,552
37,13,31 May 2021,111,135
37,14,31 May 2021,0.349,0.271
37,15,01 Oct 2018,0.922,0.829
37,16,01 Oct 2018,-0.002,-0.097
37,25,29 Apr 2021,NA,158
37,26,29 Apr 2021,NA,87
37,27,01 Apr 2021,NA,5154
37,28,01 Apr 2021,0.049,0.069
37,29,01 Apr 2021,0.023,0.012
37,30,31 Mar 2021,NA,29
37,31,31 Mar 2021,NA,315
37,32,31 Mar 2021,NA,41
37,33,31 Mar 2021,NA,347
37,34,01 Mar 2021,NA,0.773
37,39,01 Dec 2020,919.968,2157.258
37,18,31 Mar 2021,NA,42
37,19,31 Mar 2021,NA,96
37,35,31 Mar 2021,NA,0.624
37,36,31 Mar 2021,NA,22682.2
37,37,31 Mar 2021,NA,1009.8
37,38,31 Mar 2021,NA,10004.3
62,1,20 Jun 2021,NA,NA
62,2,20 Jun 2021,NA,NA
62,3,20 Jun 2021,NA,NA
62,4,20 Jun 2021,NA,NA
62,5,20 Jun 2021,NA,NA
62,6,31 May 2021,NA,NA
62,7,31 May 2021,NA,NA
62,10,31 May 2021,NA,NA
62,12,31 May 2021,NA,NA
62,13,31 May 2021,NA,NA
62,14,31 May 2021,NA,NA
62,15,01 Oct 2018,0.882,0.882
62,16,01 Oct 2018,0.089,0.089
62,25,29 Apr 2021,NA,NA
62,26,29 Apr 2021,NA,NA
62,27,01 Apr 2021,NA,NA
62,28,01 Apr 2021,0.041,NA
62,29,01 Apr 2021,0.018,NA
62,30,31 Mar 2021,NA,15
62,31,31 Mar 2021,NA,44
62,32,31 Mar 2021,NA,33
62,33,31 Mar 2021,NA,196
62,34,01 Mar 2021,NA,0.89
62,39,01 Dec 2020,172.29,172.29
62,18,31 Mar 2021,NA,NA
62,19,31 Mar 2021,NA,NA
62,35,31 Mar 2021,NA,1
62,36,31 Mar 2021,NA,1907.2
62,37,31 Mar 2021,NA,94.7
62,38,31 Mar 2021,NA,832
57,1,20 Jun 2021,133,133
57,2,20 Jun 2021,0.985,0.985
57,3,20 Jun 2021,2,2
57,4,20 Jun 2021,0,0
57,5,20 Jun 2021,0,0
57,6,31 May 2021,498,498
57,7,31 May 2021,0.976,0.976
57,10,31 May 2021,12,12
57,12,31 May 2021,0,0
57,13,31 May 2021,0,0
57,14,31 May 2021,0.265,0.265
57,15,01 Oct 2018,0.9,0.9
57,16,01 Oct 2018,-0.32,-0.32
57,25,29 Apr 2021,NA,2
57,26,29 Apr 2021,NA,0
57,27,01 Apr 2021,NA,114
57,28,01 Apr 2021,0.057,0.057
57,29,01 Apr 2021,0.03,0.03
57,30,31 Mar 2021,NA,43
57,31,31 Mar 2021,NA,183.4
57,32,31 Mar 2021,NA,44
57,33,31 Mar 2021,NA,120
57,34,01 Mar 2021,NA,0.907
57,39,01 Dec 2020,36.968,36.968
57,18,31 Mar 2021,NA,51
57,19,31 Mar 2021,NA,67
57,35,31 Mar 2021,NA,0.602
57,36,31 Mar 2021,NA,575.7
57,37,31 Mar 2021,NA,6.6
57,38,31 Mar 2021,NA,209.7
18,1,20 Jun 2021,124,124
18,2,20 Jun 2021,0.984,0.984
18,3,20 Jun 2021,2,2
18,4,20 Jun 2021,0,0
18,5,20 Jun 2021,0,0
18,6,31 May 2021,523,523
18,7,31 May 2021,0.989,0.989
18,10,31 May 2021,6,6
18,12,31 May 2021,0,0
18,13,31 May 2021,0,0
18,14,31 May 2021,0.291,0.291
18,15,01 Oct 2018,1.116,1.116
18,16,01 Oct 2018,-0.031,-0.031
18,25,29 Apr 2021,NA,0
18,26,29 Apr 2021,NA,0
18,27,01 Apr 2021,NA,13
18,28,01 Apr 2021,0.073,0.073
18,29,01 Apr 2021,0.046,0.046
18,30,31 Mar 2021,NA,36
18,31,31 Mar 2021,NA,325
18,32,31 Mar 2021,NA,62
18,33,31 Mar 2021,NA,206.4
18,34,01 Mar 2021,NA,0.864
18,39,01 Dec 2020,61.613,61.613
18,18,31 Mar 2021,NA,48
18,19,31 Mar 2021,NA,58
18,35,31 Mar 2021,NA,0.584
18,36,31 Mar 2021,NA,667.4
18,37,31 Mar 2021,NA,12
18,38,31 Mar 2021,NA,213.8
27,1,20 Jun 2021,1127,1583
27,2,20 Jun 2021,0.929,0.92
27,3,20 Jun 2021,80,127
27,4,20 Jun 2021,0,3
27,5,20 Jun 2021,0,0
27,6,31 May 2021,4580,7453
27,7,31 May 2021,0.932,0.943
27,10,31 May 2021,311,422
27,12,31 May 2021,2,6
27,13,31 May 2021,0,0
27,14,31 May 2021,0.352,0.255
27,15,01 Oct 2018,0.75,0.796
